code,vul_id,severity,line_no
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",601,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",310,2,5
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",91,2,4
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",476,2,12
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",359,3,2
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1021,2,4
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1231,3,1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",73,3,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1231,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1191,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",306,1,10
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",22,2,6
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",319,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",798,2,11
password = 'hardcoded_password123'  # CWE-798,369,3,9
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",359,1,8
password = 'hardcoded_password123'  # CWE-798,22,2,14
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",306,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",476,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",1021,1,14
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",20,1,15
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",310,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",330,1,3
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1191,2,8
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",91,3,5
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",77,1,12
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",359,3,5
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",78,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",369,3,1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",502,3,6
password = 'hardcoded_password123'  # CWE-798,91,2,2
password = 'hardcoded_password123'  # CWE-798,917,1,15
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",327,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",310,2,15
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",190,2,10
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",209,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",190,1,3
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",287,1,10
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",120,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",1189,1,9
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",77,1,10
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1321,3,6
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",416,3,14
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",74,2,2
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",20,3,11
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",326,2,8
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",191,1,8
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",23,3,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",359,2,10
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",326,3,10
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",190,1,3
password = 'hardcoded_password123'  # CWE-798,1021,3,11
password = 'hardcoded_password123'  # CWE-798,209,3,10
password = 'hardcoded_password123'  # CWE-798,23,1,8
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",863,2,15
password = 'hardcoded_password123'  # CWE-798,90,2,10
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",369,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",90,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1021,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",863,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1189,1,14
password = 'hardcoded_password123'  # CWE-798,863,1,8
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",94,1,8
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",119,2,2
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",416,0,-1
password = 'hardcoded_password123'  # CWE-798,732,1,1
password = 'hardcoded_password123'  # CWE-798,369,0,-1
password = 'hardcoded_password123'  # CWE-798,601,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",20,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",90,1,5
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",287,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",119,2,1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",191,1,11
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",120,1,14
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",310,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",23,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",400,1,2
password = 'hardcoded_password123'  # CWE-798,310,2,13
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",310,0,-1
password = 'hardcoded_password123'  # CWE-798,863,2,2
password = 'hardcoded_password123'  # CWE-798,326,2,9
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",306,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",91,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",917,0,-1
password = 'hardcoded_password123'  # CWE-798,862,3,5
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",91,1,10
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1021,3,1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",787,3,3
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",400,1,5
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",862,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",22,0,-1
password = 'hardcoded_password123'  # CWE-798,328,2,15
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",20,3,10
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",91,1,5
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",326,3,8
password = 'hardcoded_password123'  # CWE-798,369,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",201,3,13
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",922,3,4
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",94,2,1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",120,3,14
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",330,1,1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1231,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",200,2,12
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",16,1,14
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",79,3,2
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1021,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",359,3,8
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",125,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",328,2,12
password = 'hardcoded_password123'  # CWE-798,248,2,7
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",601,3,8
password = 'hardcoded_password123'  # CWE-798,23,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",330,2,3
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",22,1,13
password = 'hardcoded_password123'  # CWE-798,20,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",191,2,11
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",922,1,12
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",74,2,2
password = 'hardcoded_password123'  # CWE-798,917,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",77,1,10
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",416,2,5
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",400,3,8
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1231,1,2
password = 'hardcoded_password123'  # CWE-798,73,2,11
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",327,1,8
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",79,2,3
password = 'hardcoded_password123'  # CWE-798,703,3,14
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",209,1,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",311,3,2
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",416,1,13
password = 'hardcoded_password123'  # CWE-798,284,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",476,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",89,2,11
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",1021,1,8
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",79,3,5
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",703,0,-1
